                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03539,                      1,                      1,                0.32051,              0.0002322,              0.0002322,              0.0002322
                      2,                0.06477,                      1,                      1,                0.31611,             0.00042365,             0.00042365,             0.00042365
                      3,                0.03597,                      1,                      1,                0.31792,             0.00056797,             0.00056797,             0.00056797
                      4,                0.06591,                      1,                      1,                0.31812,             0.00050194,             0.00050194,             0.00050194
                      5,                0.04132,                0.99375,                      1,                0.31743,             0.00043126,             0.00043126,             0.00043126
                      6,                0.02201,                      1,                      1,                0.31543,             0.00036057,             0.00036057,             0.00036057
                      7,                0.02406,                      1,                      1,                0.31494,             0.00028988,             0.00028988,             0.00028988
                      8,                0.00837,                      1,                      1,                0.31509,              0.0002192,              0.0002192,              0.0002192
                      9,                0.01195,                      1,                      1,                 0.3165,             0.00014851,             0.00014851,             0.00014851
                     10,                0.02008,                      1,                      1,                0.31592,             7.7826e-05,             7.7826e-05,             7.7826e-05
